Battle Number,Battle Label,Round,Competitor 1,Competitor 2,First,Second,Round Winner,Round Winner Order,Battle Winner,Renegade,Hong 10,Moy,Aslan,Lamine,Competitor 1 Votes,Competitor 2 Votes
1,Top 16,1,Bruce Almighty,Inside,Bruce Almighty,Inside,Bruce Almighty,First,Bruce Almighty,1,1,-1,-1,-1,3,2
1,Top 16,2,Bruce Almighty,Inside,Bruce Almighty,Inside,Bruce Almighty,First,Bruce Almighty,-1,-1,-1,0,1,3,1
2,Top 16,1,Fernandinho,Elia,Elia,Fernandinho,Elia,First,Fernandinho,-1,1,1,1,-1,2,3
2,Top 16,2,Fernandinho,Elia,Elia,Fernandinho,Fernandinho,Second,Fernandinho,1,-1,1,-1,-1,3,2
2,Top 16,3,Fernandinho,Elia,Elia,Fernandinho,Fernandinho,Second,Fernandinho,-1,-1,-1,-1,-1,5,0
3,Top 16,1,Kid Colombia,Potter,Kid Colombia,Potter,Potter,Second,Potter,1,-1,1,1,1,1,4
3,Top 16,2,Kid Colombia,Potter,Kid Colombia,Potter,Potter,Second,Potter,-1,1,1,1,1,1,4
4,Top 16,1,Ayumi,Zoob,Zoob,Ayumi,Ayumi,Second,Ayumi,-1,-1,-1,1,1,3,2
4,Top 16,2,Ayumi,Zoob,Zoob,Ayumi,Ayumi,Second,Ayumi,-1,-1,-1,-1,-1,5,0
5,Top 16,1,Nasso,Aleks,Aleks,Nasso,Nasso,Second,Nasso,-1,-1,-1,-1,-1,5,0
5,Top 16,2,Nasso,Aleks,Aleks,Nasso,Nasso,Second,Nasso,-1,-1,-1,-1,-1,5,0
6,Top 16,1,Lil Zoo,Admiracles,Lil Zoo,Admiracles,Lil Zoo,First,Lil Zoo,-1,1,1,-1,-1,3,2
6,Top 16,2,Lil Zoo,Admiracles,Lil Zoo,Admiracles,Lil Zoo,First,Lil Zoo,-1,-1,1,-1,-1,4,1
7,Top 16,1,Taisuke,Spin,Spin,Taisuke,Taisuke,Second,Taisuke,-1,-1,-1,-1,-1,5,0
7,Top 16,2,Taisuke,Spin,Spin,Taisuke,Taisuke,Second,Taisuke,-1,-1,-1,-1,-1,5,0
8,Top 16,1,Pac Pac,Akorn,Akorn,Pac Pac,Pac Pac,Second,Pac Pac,-1,-1,-1,-1,-1,5,0
8,Top 16,2,Pac Pac,Akorn,Akorn,Pac Pac,Pac Pac,Second,Pac Pac,-1,-1,1,-1,-1,4,1
9,Top 8,1,Fernandinho,Bruce Almighty,Bruce Almighty,Fernandinho,Bruce Almighty,First,Bruce Almighty,1,1,1,1,1,0,5
9,Top 8,2,Fernandinho,Bruce Almighty,Bruce Almighty,Fernandinho,Bruce Almighty,First,Bruce Almighty,1,1,1,1,1,0,5
10,Top 8,1,Potter,Ayumi,Ayumi,Potter,Potter,Second,Potter,-1,-1,-1,-1,-1,5,0
10,Top 8,2,Potter,Ayumi,Ayumi,Potter,Potter,Second,Potter,-1,-1,-1,-1,-1,5,0
11,Top 8,1,Nasso,Lil Zoo,Nasso,Lil Zoo,Nasso,First,Nasso,-1,-1,-1,-1,-1,5,0
11,Top 8,2,Nasso,Lil Zoo,Nasso,Lil Zoo,Lil Zoo,Second,Nasso,1,1,-1,1,-1,2,3
11,Top 8,3,Nasso,Lil Zoo,Nasso,Lil Zoo,Nasso,First,Nasso,1,-1,1,-1,-1,3,2
12,Top 8,1,Taisuke,Pac Pac,Pac Pac,Taisuke,Pac Pac,First,Taisuke,1,1,1,1,1,0,5
12,Top 8,2,Taisuke,Pac Pac,Pac Pac,Taisuke,Taisuke,Second,Taisuke,-1,-1,-1,-1,-1,5,0
12,Top 8,3,Taisuke,Pac Pac,Pac Pac,Taisuke,Taisuke,Second,Taisuke,-1,-1,-1,-1,0,4,0
13,Semifinal,1,Bruce Almighty,Potter,Potter,Bruce Almighty,Bruce Almighty,Second,Bruce Almighty,-1,-1,-1,1,1,3,2
13,Semifinal,2,Bruce Almighty,Potter,Potter,Bruce Almighty,Tie,Tie,Bruce Almighty,1,1,-1,0,-1,2,2
13,Semifinal,3,Bruce Almighty,Potter,Potter,Bruce Almighty,Bruce Almighty,Second,Bruce Almighty,1,1,-1,-1,-1,3,2
14,Semifinal,1,Nasso,Taisuke,Taisuke,Nasso,Nasso,Second,Nasso,-1,-1,-1,-1,-1,5,0
14,Semifinal,2,Nasso,Taisuke,Taisuke,Nasso,Nasso,Second,Nasso,-1,-1,-1,-1,-1,5,0
15,Final,1,Bruce Almighty,Nasso,Bruce Almighty,Nasso,Bruce Almighty,First,Bruce Almighty,1,1,-1,-1,-1,3,2
15,Final,2,Bruce Almighty,Nasso,Bruce Almighty,Nasso,Nasso,Second,Bruce Almighty,1,1,-1,1,1,1,4
15,Final,3,Bruce Almighty,Nasso,Bruce Almighty,Nasso,Bruce Almighty,First,Bruce Almighty,-1,-1,1,-1,-1,4,1
15,Final,4,Bruce Almighty,Nasso,Bruce Almighty,Nasso,Bruce Almighty,First,Bruce Almighty,-1,-1,-1,-1,-1,5,0