Battle Number,Battle Label,Round,Competitor 1,Competitor 2,First,Second,Round Winner,Round Winner Order,Battle Winner,Focus,Storm,Takeo,Renegade,Mouse,Competitor 1 Votes,Competitor 2 Votes
1,Top 16,1,Jamal,Kacyo,Jamal,Kacyo,Jamal,First,Jamal,-1,-1,-1,-1,-1,5,0
1,Top 16,2,Jamal,Kacyo,Jamal,Kacyo,Jamal,First,Jamal,-1,-1,-1,-1,-1,5,0
2,Top 16,1,Lagaet,Chen Chen,Chen Chen,Lagaet,Jamal,Second,Lagaet,-1,-1,-1,-1,-1,5,0
2,Top 16,2,Lagaet,Chen Chen,Chen Chen,Lagaet,Jamal,Second,Lagaet,-1,-1,-1,-1,-1,5,0
3,Top 16,1,Sunni,Aduh,Sunni,Aduh,Sunni,First,Sunni,-1,1,1,-1,-1,3,2
3,Top 16,1,Sunni,Aduh,Sunni,Aduh,Sunni,First,Sunni,-1,-1,-1,-1,-1,5,0
4,Top 16,1,Admiracles,Create,Create,Admiracles,Create,First,Create,1,-1,1,1,-1,2,3
4,Top 16,2,Admiracles,Create,Create,Admiracles,Create,First,Create,1,1,1,-1,1,1,4
5,Top 16,1,Roxrite,Volt,Roxrite,Volt,Roxrite,First,Roxrite,-1,-1,-1,-1,1,4,1
5,Top 16,2,Roxrite,Volt,Roxrite,Volt,Roxrite,First,Roxrite,-1,-1,1,1,-1,3,2
6,Top 16,1,Dany,Onel,Dany,Onel,Dany,First,Dany,-1,-1,-1,-1,-1,5,0
6,Top 16,2,Dany,Onel,Dany,Onel,Dany,First,Dany,1,-1,-1,-1,-1,4,1
7,Top 16,1,Taower,Conni,Taower,Conni,Taower,First,Taower,-1,-1,-1,-1,-1,5,0
7,Top 16,2,Taower,Conni,Taower,Conni,Taower,First,Taower,1,1,-1,-1,-1,3,2
8,Top 16,1,T-Rock,Taisuke,T-Rock,Taisuke,Taisuke,Second,Taisuke,1,1,1,1,1,0,5
8,Top 16,2,T-Rock,Taisuke,T-Rock,Taisuke,Taisuke,Second,Taisuke,1,1,1,1,-1,1,4
9,Top 8,1,Lagaet,Jamal,Lagaet,Jamal,Jamal,Second,Jamal,1,1,-1,1,1,1,4
9,Top 8,2,Lagaet,Jamal,Lagaet,Jamal,Jamal,Second,Jamal,1,1,1,-1,1,1,4
10,Top 8,1,Create,Sunni,Create,Sunni,Sunni,Second,Sunni,1,1,1,1,1,0,5
10,Top 8,2,Create,Sunni,Create,Sunni,Sunni,Second,Sunni,1,1,1,1,1,0,5
11,Top 8,1,Dany,Roxrite,Dany,Roxrite,Roxrite,Second,Roxrite,1,-1,-1,1,1,2,3
11,Top 8,2,Dany,Roxrite,Dany,Roxrite,Roxrite,Second,Roxrite,-1,-1,1,1,1,2,3
12,Top 8,1,Taower,Taisuke,Taower,Taisuke,Taower,First,Taisuke,1,1,-1,-1,-1,3,2
12,Top 8,2,Taower,Taisuke,Taower,Taisuke,Taisuke,Second,Taisuke,1,1,1,1,1,0,5
12,Top 8,3,Taower,Taisuke,Taower,Taisuke,Taisuke,Second,Taisuke,1,1,1,1,1,0,5
13,Semifinal,1,Jamal,Sunni,Sunni,Jamal,Sunni,First,Sunni,1,1,-1,1,1,1,4
13,Semifinal,2,Jamal,Sunni,Sunni,Jamal,Sunni,First,Sunni,1,1,1,1,1,0,5
14,Semifinal,1,Roxrite,Taisuke,Roxrite,Taisuke,Taisuke,Second,Taisuke,1,1,1,1,-1,1,4
14,Semifinal,2,Roxrite,Taisuke,Roxrite,Taisuke,Taisuke,Second,Taisuke,1,1,1,1,1,0,5
15,Final,1,Sunni,Taisuke,Sunni,Taisuke,Sunni,First,Sunni,NaN,NaN,NaN,NaN,NaN,NaN,NaN