Battle Number,Battle Label,Round,Competitor 1,Competitor 2,First,Second,Round Winner,Round Winner Order,Battle Winner,Renegade,Extremo,Kleju,Niek,Admiracles,Competitor 1 Votes,Competitor 2 Votes
1,Top 16,Round 1,Gimnast,Wing Zero,Gimnast,Wing Zero,Wing Zero,Second,Wing Zero,1,1,1,-1,-1,2,3
1,Top 16,Round 2,Gimnast,Wing Zero,Gimnast,Wing Zero,Wing Zero,Second,Wing Zero,1,1,-1,1,1,1,4
2,Top 16,Round 1,Lucky,Sunni,Sunni,Lucky,Sunni,First,Sunni,1,1,1,1,1,0,5
2,Top 16,Round 2,Lucky,Sunni,Sunni,Lucky,Sunni,First,Sunni,1,1,-1,1,1,1,4
3,Top 16,Round 1,Luan San,Mighty Jim,Luan San,Mighty Jim,Luan San,First,Luan San,-1,-1,-1,-1,-1,5,0
3,Top 16,Round 2,Luan San,Mighty Jim,Luan San,Mighty Jim,Mighty Jim,Second,Luan San,1,1,1,-1,1,1,4
3,Top 16,Round 3,Luan San,Mighty Jim,Luan San,Mighty Jim,Luan San,First,Luan San,-1,-1,-1,1,-1,4,1
4,Top 16,Round 1,Greku,Beetle,Greku,Beetle,Beetle,Second,Beetle,1,-1,-1,1,1,2,3
4,Top 16,Round 2,Greku,Beetle,Greku,Beetle,Greku,First,Beetle,-1,1,-1,1,-1,3,2
4,Top 16,Round 3,Greku,Beetle,Greku,Beetle,Beetle,Second,Beetle,1,1,-1,-1,1,2,3
5,Top 16,Round 1,Cri6,Lagaet,Lagaet,Cri6,Lagaet,First,Lagaet,1,1,1,1,1,0,5
5,Top 16,Round 2,Cri6,Lagaet,Lagaet,Cri6,Lagaet,First,Lagaet,1,1,1,1,1,0,5
6,Top 16,Round 1,Stripes,Twister,Stripes,Twister,Stripes,First,Stripes,1,-1,-1,-1,-1,4,1
6,Top 16,Round 2,Stripes,Twister,Stripes,Twister,Stripes,First,Stripes,-1,-1,-1,-1,-1,5,0
7,Top 16,Round 1,Yan,Deeogo,Yan,Deeogo,Yan,First,Yan,1,1,-1,-1,-1,3,2
7,Top 16,Round 2,Yan,Deeogo,Yan,Deeogo,Deeogo,Second,Yan,-1,1,1,1,-1,2,3
7,Top 16,Round 3,Yan,Deeogo,Yan,Deeogo,Yan,First,Yan,-1,1,1,-1,-1,3,2
8,Top 16,Round 1,Justen,Heady,Justen,Heady,Justen,First,Justen,-1,-1,-1,-1,-1,5,0
8,Top 16,Round 2,Justen,Heady,Justen,Heady,Heady,Second,Justen,1,1,1,1,1,0,5
8,Top 16,Round 3,Justen,Heady,Justen,Heady,Justen,First,Justen,-1,1,-1,1,-1,3,2
9,Top 8,Round 1,Wing Zero,Sunni,Wing Zero,Sunni,Sunni,Second,Sunni,1,-1,1,1,1,1,4
9,Top 8,Round 2,Wing Zero,Sunni,Wing Zero,Sunni,Sunni,Second,Sunni,1,1,1,1,-1,1,4
10,Top 8,Round 1,Luan San,Beetle,Beetle,Luan San,Beetle,First,Beetle,1,1,1,1,1,0,5
10,Top 8,Round 2,Luan San,Beetle,Beetle,Luan San,Luan San,Second,Beetle,-1,-1,-1,-1,-1,5,0
10,Top 8,Round 3,Luan San,Beetle,Beetle,Luan San,Beetle,First,Beetle,1,1,1,1,1,0,5
11,Top 8,Round 1,Lagaet,Stripes,Lagaet,Stripes,Stripes,Second,Stripes,1,-1,1,-1,1,2,3
11,Top 8,Round 2,Lagaet,Stripes,Lagaet,Stripes,Lagaet,First,Stripes,-1,-1,1,-1,1,3,2
11,Top 8,Round 3,Lagaet,Stripes,Lagaet,Stripes,Stripes,Second,Stripes,1,1,1,-1,1,1,4
12,Top 8,Round 1,Yan,Justen,Yan,Justen,Justen,Second,Justen,1,1,1,1,-1,1,4
12,Top 8,Round 2,Yan,Justen,Yan,Justen,Justen,Second,Justen,1,1,1,1,1,0,5
13,Semifinal,Round 1,Sunni,Beetle,Beetle,Sunni,Sunni,Second,Sunni,-1,-1,-1,-1,-1,5,0
13,Semifinal,Round 2,Sunni,Beetle,Beetle,Sunni,Beetle,First,Sunni,1,1,-1,1,1,1,4
13,Semifinal,Round 3,Sunni,Beetle,Beetle,Sunni,Sunni,Second,Sunni,1,-1,-1,1,-1,3,2
14,Semifinal,Round 1,Stripes,Justen,Justen,Stripes,Stripes,Second,Stripes,-1,-1,-1,-1,-1,5,0
14,Semifinal,Round 1,Stripes,Justen,Justen,Stripes,Stripes,Second,Stripes,-1,-1,-1,-1,-1,5,0
15,Final,Round 1,Sunni,Stripes,Stripes,Sunni,Stripes,First,Stripes,1,1,1,-1,1,1,4
15,Final,Round 2,Sunni,Stripes,Stripes,Sunni,Stripes,First,Stripes,-1,1,1,1,1,1,4
15,Final,Round 3,Sunni,Stripes,Stripes,Sunni,Sunni,Second,Stripes,-1,-1,-1,-1,-1,5,0
15,Final,Round 4,Sunni,Stripes,Stripes,Sunni,Sunni,Second,Stripes,-1,1,-1,-1,-1,4,1
15,Final,Round 5,Sunni,Stripes,Stripes,Sunni,Stripes,First,Stripes,1,1,-1,-1,1,2,3